"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Stripling, Ross",548389,"R","93.7",,,"91.3",,"75.7","41",,
"Rainey, Tanner",663432,"R","93.7",,,,,,"21.4",,
"Coonrod, Sam",656322,"R","93.7","91.4","37.4","93.9",,,"34.3","34.3",
"Smith, Will",519293,"L","93.6",,,,,"57.8","23.2",,
"Cabrera, Edward",665795,"R","93.6",,,"97.4",,"56","22.4",,
"Espino, Paolo",502179,"R","93.6",,,"92.2",,"98.4",,"61",
"Cueto, Johnny",456501,"R","93.5","93.3","57.4","79.8",,"21.7","31.2",,
"Alvarez, Jose",501625,"L","93.5","93.9","51.3","89.2",,,"33.6",,
"Lugo, Seth",607625,"R","93.5","92",,"95.1",,"84.6","40.3",,
"Snell, Blake",605483,"L","93.5",,,"97.5",,"79","26.7",,
"Bauer, Trevor",545333,"R","93.5","91.8","26.5","91.5",,"93.9",,"60.2",
"Hess, David",605276,"R","93.5",,,"99.1",,,"41.3",,
"Klobosits, Gabe",656620,"R","93.5",,,,"38.7",,"21",,
"Rodriguez, Chris",669735,"R","93.4","92.7",,"97.4",,"75.9","32.6",,
"Ruiz, José",614179,"R","93.3",,,"88.8",,"48.7","45.1",,
"Hernández, Carlos",672578,"R","93.3",,,,"93.4","66","26.2",,
"Hill, Rich",448179,"L","93.3","87.7","47.4","94.7",,"94.8","36.9","87.5",
"Shoemaker, Matt",533167,"R","93.2","92.1",,,"84.2","43.6","17.8",,
"Wieck, Brad",623364,"L","93.1",,,,,"95.6",,,
"Mayers, Mike",594577,"R","93.1",,"63.6",,,,"19.5",,
"Tapia, Domingo",593619,"R","93.1","92.6",,"97.9",,,"35.1",,
"Brault, Steven",643230,"L","93.1","92.5",,"92.2",,"66.8","31.3",,
"Davis, Austin",656354,"L","93.1",,,"98.3",,,"34.4",,
"Ray, Robbie",592662,"L","93",,,"96.6",,"13.4","42.1",,
"Watson, Tony",453265,"L","92.9","94.9",,"99.2",,,"16.9",,
"May, Dustin",669160,"R","92.9","90.6","30.2",,,,"56.5","58.9",
"Bedrosian, Cam",592135,"R","92.9",,,,"97.3",,"53.5",,
"López, Yoan",661255,"R","92.9",,,,,,"41.8",,
"Ponce, Cody",664074,"R","92.9",,"49.9","99.5",,"79.4","27.4",,
"Hembree, Heath",592390,"R","92.9",,,,,,"31.9",,
"Rodriguez, Nivaldo",670550,"R","92.8","98.3",,"92.7",,"42.5","42.4",,
"Kimbrel, Craig",518886,"R","92.8",,,,,"62.4",,,
"Misiewicz, Anthony",664948,"L","92.8",,"36.6",,,"61.8",,,
"Margevicius, Nick",676606,"L","92.8",,,,,"76.2","57.3",,
"Brubaker, JT",664141,"R","92.8","90.1",,"89.8",,"59.4","19.3",,
"Abad, Fernando",472551,"L","92.7","91.2","21.8","99.5",,"66.7",,,
"Keller, Kyle",664918,"R","92.7",,,,,"57.5",,,
"Allen, Logan",663531,"L","92.7","94.1",,"97.3",,"74.5","30.5","40.7",
"Jackson, Jay",543351,"R","92.6",,,,,,"29.1",,
"Abreu, Bryan",650556,"R","92.5","94.6",,,,"68.2","32.7",,
"Houser, Adrian",605288,"R","92.5","89.8",,"87.7",,"94.6","34.8",,
"Rucker, Michael",621074,"R","92.4","93.2","30.8","94.3",,"74.3","28.2",,
"Zuber, Tyler",676604,"R","92.4",,,"92.3",,"73.1","41.9","47.3",
"Chavez, Jesse",445926,"R","92.4","93.2","62.1","97.1",,,"38.8",,
